Date,MMR,Change,Hero,Role
2017-12-26,1709,25,Shadow Shaman,Support (5)
2018-01-07,1733,24,Jakiro,Support (5)
2018-01-07,1756,23,Shadow Demon,Support (5)
2018-01-07,1777,21,KotL,Support (5)
2018-01-07,1794,17,Dark Seer,Offlane (3)
2018-01-07,1766,-28,Shadow Shaman,Support (5)
2018-01-08,1743,-23,Jakiro,Support (5)
2018-01-08,1764,21,Crystal Maiden,Support (5)
2018-01-13,1791,27,Shadow Shaman,Support (5)
2018-01-13,1767,-24,Witch Doctor,Support (5)
2018-01-14,1794,27,Jakiro,Support (5)
2018-01-15,1819,25,Shadow Shaman,Support (5)
2018-01-15,1794,-25,Shadow Demon,Support (5)
2018-01-15,1771,-23,Tidehunter,Offlane (3)
2018-01-15,1787,16,Dazzle,Support (5)
2018-01-19,1811,24,Bane,Support (5)
2018-01-23,1839,28,Shadow Shaman,Support (5)
2018-01-23,1814,-25,Rubick,Support (5)
2018-01-23,1839,25,Witch Doctor,Support (5)
2018-02-17,1889,50,Spirit Breaker,Roam (4)
2018-02-17,1864,-25,Spirit Breaker,Roam (4)
2018-02-24,1837,-27,Bounty Hunter,Roam (4)
2018-02-24,1812,-25,Spirit Breaker,Roam (4)
2018-02-25,1834,22,Shadow Shaman,Support (5)
2018-03-03,1809,-25,Vengeful Spirit,Support (5)
2018-03-03,1831,22,Jakiro,Support (5)
2018-03-05,1855,24,Clockwerk,Roam (4)
2018-03-05,1877,22,Clockwerk,Roam (4)
2018-03-08,1898,21,Clockwerk,Roam (4)
2018-03-08,1870,-28,Clockwerk,Roam (4)
2018-03-25,1893,23,Shadow Shaman,Support (5)
2018-03-29,1920,27,Witch Doctor,Support (5)
2018-03-29,1945,25,Witch Doctor,Support (5)
2018-04-01,1924,-21,Shadow Shaman,Support (5)
2018-04-01,1949,25,Witch Doctor,Support (5)
2018-04-03,1974,25,Witch Doctor,Support (5)
2018-04-03,1997,23,Shadow Shaman,Support (5)
2018-04-05,2021,24,Witch Doctor,Support (5)
2018-04-05,2044,23,Clockwerk,Roam (4)
2018-04-05,2065,21,Witch Doctor,Support (5)
2018-04-05,2087,22,Witch Doctor,Support (5)
2018-04-05,2058,-29,Witch Doctor,Support (5)
2018-04-05,2079,21,Witch Doctor,Support (5)
2018-04-06,2053,-26,Witch Doctor,Support (5)
2018-04-07,2077,24,Shadow Shaman,Support (5)
2018-04-07,2052,-25,Witch Doctor,Support (5)
2018-04-08,2075,23,Witch Doctor,Support (5)
2018-04-08,2098,23,Witch Doctor,Support (5)
2018-04-08,2075,-23,Witch Doctor,Support (5)
2018-04-08,2090,15,Techies,Support (5)
2018-04-08,2060,-30,Venomancer,Roam (4)
2018-04-08,2082,22,Clockwerk,Roam (4)
2018-04-20,2102,20,Techies,Roam (4)
2018-04-28,2079,-23,Warlock,Support (5)
2018-04-28,2103,24,Drow Ranger,Carry (1)
2018-04-28,2079,-24,Drow Ranger,Carry (1)
2018-04-29,2055,-24,Rubick,Support (5)
2018-05-03,2075,20,Shadow Demon,Support (5)
2018-05-03,2094,19,Crystal Maiden,Support (5)
2018-05-05,2062,-32,Shadow Demon,Support (5)
2018-05-05,2087,25,Drow Ranger,Carry (1)
2018-05-06,2115,28,Clockwerk,Roam (4)
2018-05-06,2090,-25,Viper,Carry (1)
2018-05-06,2065,-25,Techies,Roam (4)
2018-05-07,2035,-30,Drow Ranger,Carry (1)
2018-05-08,2055,20,Ogre Magi,Support (5)
2018-05-09,1996,-59,Naga Siren,Roam (4)
2018-05-10,2009,13,Shadow Shaman,Support (5)
2018-05-10,2031,22,Sand King,Roam (4)
2018-05-10,2055,24,Ancient Apparition,Support (5)
2018-05-10,2083,28,Lich,Support (5)
2018-05-11,2111,28,Silencer,Support (5)
2018-05-12,2090,-21,Jakiro,Support (5)
2018-05-12,2059,-31,Dragon Knight,Mid (2)
2018-05-13,2035,-24,Undying,Support (5)
2018-05-13,2011,-24,Juggernaut,Carry (1)
